"ConversionTagID","ConversionName","AdvertiserID","Type","PageURL","CreationDate","Group1","Group2","Group3","Group4","Group5","String1","String2","String3","String4","String5","String6","String7","String8","String9","String10","String11","String12","String13","String14","String15","String16","String17","String18","String19","String20"
"140925","Registration Conversion","59353","Counter","http://rsaconference.com/events/2012/usa/registration.htm","8/29/2011 3:36:32 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"163398","Thanks - ESET  LLC","61409","Counter","https://checkout.netsuite.com/s.nl","12/29/2011 5:28:42 PM","Consumer","Purchase","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"163399","Trial EAV","61409","Counter","http://www.eset.com/us/download/thank-you-eav/file/9900/?trl=ea","12/29/2011 5:30:13 PM","Consumer","Trial","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"163400","Trial ESS","61409","Counter","http://www.eset.com/us/download/thank-you-ess/file/9901/?trl=es","12/29/2011 5:32:17 PM","Consumer","Trial","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"164460","TY Business Contact","61409","Counter","http://protect-us.eset.com/LP=97","1/9/2012 1:08:27 PM","Business","Lead","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"164463","TY Business Trial","61409","Counter","http://protect-us.eset.com/LP=98","1/9/2012 1:08:27 PM","Business","Lead","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"164880","Homepage (3rd Party Retargeting)","61409","Counter","http://www.eset.com/us/","1/11/2012 3:13:11 PM","Business","3rd Party Retargeting","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"164896","All Business Products (Business)","61409","Counter","http://www.eset.com/us/business/products/","1/11/2012 4:55:23 PM","Business","3rd Party Retargeting","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"223935","Registration_Confirmation","59353","Sales","","7/25/2012 11:52:00 AM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"238359","ECS Trial Download Page","61409","Counter","http://www.eset.com/us/download/thank-you-ecs/file/10462/?trl=ec","9/26/2012 4:40:47 PM","Consumer","Trial","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"287575","Kingston|HyperX","61253","Counter","http://www.kingston.com/us/memory/hyperx","2/26/2013 6:49:06 PM","PageLoad","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"287577","Kingston|HyperX|10Year","61253","Counter","http://www.kingston.com/us/memory/hyperx/genesis/10year","2/26/2013 6:49:40 PM","PageLoad","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"289210","Akamai_InnovationPage","85951","Counter","","3/5/2013 8:34:03 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"302373","Kingston|HyperX|DE","61253","Counter","http://www.kingston.com/de/memory/hyperx","4/3/2013 8:20:39 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"313789","MayStrike_Homepage","61903","Counter","","5/14/2013 7:37:24 PM","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"335339","Channel_LandingPage_Products","89647","Counter","","6/20/2013 11:55:21 AM","Channel","Products","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
